video,frame,knee_left,knee_right,hip_left,hip_right,trunk_angle,motion_energy
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,0,97.76445029731929,122.17006738998447,87.96427673421543,113.03073792454701,179.90696393396752,0.0
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,1,97.7272028556681,121.45718278033452,87.8032004458705,112.35756905030006,179.91587649981597,0.0006003460530169029
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,2,97.76215664108742,120.96228715657791,87.73284268745,111.89033192715655,179.92571846140513,0.0005133828380911331
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,3,97.73251714530286,119.53653827522166,87.47906013613834,110.55987689030198,179.92949983868806,0.0010913572149473872
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,4,97.80425164339407,118.67467563384868,87.44708414705715,109.78590404754739,179.91638465209724,0.0007772430743893757
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,5,98.01670824217784,118.2080494474375,87.63187985780368,109.37661073492322,179.87740312626593,0.0006969162581342491
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,6,98.45937048705335,118.19080211755157,88.07199155853588,109.38494172146557,179.82688718055593,0.0008233618155990165
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,7,99.06085208617675,118.62631372351616,88.69282437715086,109.82664247230142,179.7649192976067,0.0010412853716001984
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,8,99.87833694259412,119.65996199910572,89.5238289261382,110.83476207454251,179.7130815076111,0.0012845676003417313
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,9,100.91025478117488,121.0201372013337,90.49880818320031,112.1499263838644,179.7012344909408,0.0013890094318457704
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,10,101.99121677716525,122.66326775410137,91.46581766684399,113.80069374843133,179.76053682235178,0.0015273733999495377
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,11,103.01964839275874,124.50719888754531,92.27277844605344,115.72112533938783,179.92364282814225,0.0016659095714673267
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,12,103.80269320871885,126.33743248327613,92.69889456245458,117.71234369012821,179.78957732845672,0.001844924231766943
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,13,104.57640596914487,128.23383202750568,92.93905643527033,119.85285985749846,179.37235942046158,0.00212791667894735
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,14,105.46407725435346,129.78489221228793,93.05051737694231,121.72181027684255,178.87645347192145,0.0026161960762214487
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,15,106.15416590170841,131.46282573164427,92.6663419599462,123.81039503157652,178.24219745401007,0.00356319068833258
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,16,107.19836807656158,132.30774403182747,92.36525986726188,125.01687277589438,177.64463467798984,0.0042401053414116005
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,17,108.23378489351033,132.62151558065904,91.96666304695694,125.61042366570648,177.06560336646265,0.005245089479975693
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,18,108.90399687074083,132.616629519507,91.28815937425966,125.78936048912529,176.54790698768156,0.006132622970710205
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,19,109.06856979222951,132.82937162710732,90.29104594801358,126.12922753226195,176.0567234231873,0.0063915908149590195
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,20,108.44909245282251,132.7913293728675,88.86110905530778,126.0869722062134,175.66797307532903,0.006475019057105149
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,21,107.69576983071036,133.9121727090731,87.61938134233392,127.27289287170083,175.27439248371513,0.006084294784857271
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,22,108.75535443188798,137.32432480838463,88.3260971942199,130.8602194791607,174.85867749652252,0.005675805143341127
WhatsApp Video 2025-10-12 at 9.49.13 PM (2).mp4,23,112.20442929835573,142.24813269144295,91.52038237654631,136.045059180245,174.4632714595679,0.006650810391882882
