action,video_filename,frame_idx,timestamp_sec,width,height,fps,total_frames,duration_sec,luminance_mean,luminance_std,motion_mad
voltear,14voltear2.mp4,0,0.0,1920,1080,30.0,46,1.5333333333333334,43.59676697530864,71.89934382134183,
voltear,14voltear2.mp4,1,0.03333333333333333,1920,1080,30.0,46,1.5333333333333334,43.58182629243827,71.88797901508285,0.1225072337962963
voltear,14voltear2.mp4,2,0.06666666666666667,1920,1080,30.0,46,1.5333333333333334,43.5660050154321,71.8785319718121,0.12334056712962962
voltear,14voltear2.mp4,3,0.1,1920,1080,30.0,46,1.5333333333333334,43.55592737268518,71.8687759585283,0.10507474922839506
voltear,14voltear2.mp4,4,0.13333333333333333,1920,1080,30.0,46,1.5333333333333334,43.553270640432096,71.86686487650019,0.10154755015432099
voltear,14voltear2.mp4,5,0.16666666666666666,1920,1080,30.0,46,1.5333333333333334,43.55474103009259,71.86908590232002,0.07785252700617284
voltear,14voltear2.mp4,6,0.2,1920,1080,30.0,46,1.5333333333333334,43.56355082947531,71.87461311401256,0.09118248456790123
voltear,14voltear2.mp4,7,0.23333333333333334,1920,1080,30.0,46,1.5333333333333334,43.569452160493825,71.87984779604709,0.06780623070987654
voltear,14voltear2.mp4,8,0.26666666666666666,1920,1080,30.0,46,1.5333333333333334,43.57481143904321,71.88392209980442,0.06831741898148148
voltear,14voltear2.mp4,9,0.3,1920,1080,30.0,46,1.5333333333333334,43.57124614197531,71.87930871539025,0.05960407021604938
voltear,14voltear2.mp4,10,0.3333333333333333,1920,1080,30.0,46,1.5333333333333334,43.56129436728395,71.87164210314378,0.06286747685185186
voltear,14voltear2.mp4,11,0.36666666666666664,1920,1080,30.0,46,1.5333333333333334,43.556323784722224,71.86604902589744,0.06243489583333333
voltear,14voltear2.mp4,12,0.4,1920,1080,30.0,46,1.5333333333333334,43.54798562885802,71.85630514817494,0.06834008487654321
voltear,14voltear2.mp4,13,0.43333333333333335,1920,1080,30.0,46,1.5333333333333334,43.53474681712963,71.84202671081847,0.06530189043209876
voltear,14voltear2.mp4,14,0.4666666666666667,1920,1080,30.0,46,1.5333333333333334,43.52045958719136,71.82753068802118,0.07306905864197531
voltear,14voltear2.mp4,15,0.5,1920,1080,30.0,46,1.5333333333333334,43.50859519675926,71.81614090526841,0.07079475308641975
voltear,14voltear2.mp4,16,0.5333333333333333,1920,1080,30.0,46,1.5333333333333334,43.49967544367284,71.80735841473833,0.07435474537037037
voltear,14voltear2.mp4,17,0.5666666666666667,1920,1080,30.0,46,1.5333333333333334,43.493206500771606,71.79967681682939,0.07777295524691358
voltear,14voltear2.mp4,18,0.6,1920,1080,30.0,46,1.5333333333333334,43.48063030478395,71.7833986273132,0.09962287808641976
voltear,14voltear2.mp4,19,0.6333333333333333,1920,1080,30.0,46,1.5333333333333334,43.46860628858025,71.76582101756598,0.11383150077160493
voltear,14voltear2.mp4,20,0.6666666666666666,1920,1080,30.0,46,1.5333333333333334,43.45934606481482,71.75250539672204,0.12795428240740742
voltear,14voltear2.mp4,21,0.7,1920,1080,30.0,46,1.5333333333333334,43.46239535108025,71.7439835538016,0.13889708719135802
voltear,14voltear2.mp4,22,0.7333333333333333,1920,1080,30.0,46,1.5333333333333334,43.48695023148148,71.75516710324956,0.16360001929012347
voltear,14voltear2.mp4,23,0.7666666666666667,1920,1080,30.0,46,1.5333333333333334,43.54023196373457,71.79767068534504,0.15988377700617284
voltear,14voltear2.mp4,24,0.8,1920,1080,30.0,46,1.5333333333333334,43.60863184799383,71.85566440704432,0.16348958333333333
voltear,14voltear2.mp4,25,0.8333333333333334,1920,1080,30.0,46,1.5333333333333334,43.6463315007716,71.87573220303955,0.3851292438271605
voltear,14voltear2.mp4,26,0.8666666666666667,1920,1080,30.0,46,1.5333333333333334,43.71873842592593,71.92915159985192,0.205405574845679
voltear,14voltear2.mp4,27,0.9,1920,1080,30.0,46,1.5333333333333334,43.82588107638889,72.0381009095764,0.2286791087962963
voltear,14voltear2.mp4,28,0.9333333333333333,1920,1080,30.0,46,1.5333333333333334,43.923618827160496,72.1273963432905,0.2218311149691358
voltear,14voltear2.mp4,29,0.9666666666666667,1920,1080,30.0,46,1.5333333333333334,44.00754388503086,72.19948982182578,0.21813802083333333
voltear,14voltear2.mp4,30,1.0,1920,1080,30.0,46,1.5333333333333334,44.04898871527778,72.23024808029393,0.2169675925925926
voltear,14voltear2.mp4,31,1.0333333333333334,1920,1080,30.0,46,1.5333333333333334,44.05505015432099,72.21724901385164,0.20754099151234567
voltear,14voltear2.mp4,32,1.0666666666666667,1920,1080,30.0,46,1.5333333333333334,44.030865644290124,72.18306458337476,0.21758728780864198
voltear,14voltear2.mp4,33,1.1,1920,1080,30.0,46,1.5333333333333334,43.96676745756173,72.1248227944641,0.23230131172839505
voltear,14voltear2.mp4,34,1.1333333333333333,1920,1080,30.0,46,1.5333333333333334,43.87564718364197,72.04275671874531,0.24248987268518518
voltear,14voltear2.mp4,35,1.1666666666666667,1920,1080,30.0,46,1.5333333333333334,43.75693721064815,71.95971411887844,0.23803771219135803
voltear,14voltear2.mp4,36,1.2,1920,1080,30.0,46,1.5333333333333334,43.629913676697534,71.87257393478178,0.2317158564814815
voltear,14voltear2.mp4,37,1.2333333333333334,1920,1080,30.0,46,1.5333333333333334,43.51958912037037,71.7889594520905,0.23022521219135803
voltear,14voltear2.mp4,38,1.2666666666666666,1920,1080,30.0,46,1.5333333333333334,43.426408661265434,71.70416757474051,0.2420288387345679
voltear,14voltear2.mp4,39,1.3,1920,1080,30.0,46,1.5333333333333334,43.32461082175926,71.59993331041525,0.23055844907407408
voltear,14voltear2.mp4,40,1.3333333333333333,1920,1080,30.0,46,1.5333333333333334,43.270506365740744,71.53356992806464,0.2549773341049383
voltear,14voltear2.mp4,41,1.3666666666666667,1920,1080,30.0,46,1.5333333333333334,43.24305121527778,71.49534922044803,0.2399021026234568
voltear,14voltear2.mp4,42,1.4,1920,1080,30.0,46,1.5333333333333334,43.235793788580246,71.48614626680744,0.24441309799382716
voltear,14voltear2.mp4,43,1.4333333333333333,1920,1080,30.0,46,1.5333333333333334,43.24206018518519,71.49333259511002,0.2506404320987654
voltear,14voltear2.mp4,44,1.4666666666666666,1920,1080,30.0,46,1.5333333333333334,43.26924286265432,71.52646563376865,0.24787422839506174
voltear,14voltear2.mp4,45,1.5,1920,1080,30.0,46,1.5333333333333334,43.30600067515432,71.56378255944594,0.2163160686728395
voltear,8voltear.mp4,0,0.0,1920,1080,30.0,58,1.9333333333333333,42.941441936728395,71.6368041369002,
voltear,8voltear.mp4,1,0.03333333333333333,1920,1080,30.0,58,1.9333333333333333,42.8864559220679,71.57872868985443,0.5170635609567901
voltear,8voltear.mp4,2,0.06666666666666667,1920,1080,30.0,58,1.9333333333333333,42.87482687114198,71.57533242265724,0.532391975308642
voltear,8voltear.mp4,3,0.1,1920,1080,30.0,58,1.9333333333333333,42.87389226466049,71.5726964681976,0.5403472222222222
voltear,8voltear.mp4,4,0.13333333333333333,1920,1080,30.0,58,1.9333333333333333,42.884140625,71.57420601212226,0.5267134452160493
voltear,8voltear.mp4,5,0.16666666666666666,1920,1080,30.0,58,1.9333333333333333,42.91861786265432,71.60428894845238,0.5637413194444445
voltear,8voltear.mp4,6,0.2,1920,1080,30.0,58,1.9333333333333333,42.954994212962966,71.6464621534172,0.6725829475308642
voltear,8voltear.mp4,7,0.23333333333333334,1920,1080,30.0,58,1.9333333333333333,43.001314139660494,71.70650697168915,0.7987022569444444
voltear,8voltear.mp4,8,0.26666666666666666,1920,1080,30.0,58,1.9333333333333333,43.03357060185185,71.75744600148941,0.9717780671296297
voltear,8voltear.mp4,9,0.3,1920,1080,30.0,58,1.9333333333333333,43.037865065586416,71.79468478973233,1.0525168788580246
voltear,8voltear.mp4,10,0.3333333333333333,1920,1080,30.0,58,1.9333333333333333,43.126315104166665,71.90596378015275,1.1370042438271606
voltear,8voltear.mp4,11,0.36666666666666664,1920,1080,30.0,58,1.9333333333333333,43.266044560185186,72.06448261997224,1.245297550154321
voltear,8voltear.mp4,12,0.4,1920,1080,30.0,58,1.9333333333333333,43.39061824845679,72.19827901288615,1.3470679012345679
voltear,8voltear.mp4,13,0.43333333333333335,1920,1080,30.0,58,1.9333333333333333,43.50920621141975,72.33436273940224,1.3982937885802469
voltear,8voltear.mp4,14,0.4666666666666667,1920,1080,30.0,58,1.9333333333333333,43.66598331404321,72.47821033831487,1.4062659143518519
voltear,8voltear.mp4,15,0.5,1920,1080,30.0,58,1.9333333333333333,43.838979552469134,72.63052552555044,1.5131013695987654
voltear,8voltear.mp4,16,0.5333333333333333,1920,1080,30.0,58,1.9333333333333333,44.115025077160496,72.9002438472557,1.5391020447530863
voltear,8voltear.mp4,17,0.5666666666666667,1920,1080,30.0,58,1.9333333333333333,44.42692901234568,73.22138176536427,1.502067901234568
voltear,8voltear.mp4,18,0.6,1920,1080,30.0,58,1.9333333333333333,44.78976996527778,73.58326332781539,1.4126104359567901
voltear,8voltear.mp4,19,0.6333333333333333,1920,1080,30.0,58,1.9333333333333333,45.265341435185185,74.00833221241096,1.3206119791666666
voltear,8voltear.mp4,20,0.6666666666666666,1920,1080,30.0,58,1.9333333333333333,45.824240933641974,74.42996335078192,1.175035686728395
voltear,8voltear.mp4,21,0.7,1920,1080,30.0,58,1.9333333333333333,46.199798900462966,74.71476509708641,1.1444121334876542
voltear,8voltear.mp4,22,0.7333333333333333,1920,1080,30.0,58,1.9333333333333333,46.265915316358026,74.74566607962298,1.048800636574074
voltear,8voltear.mp4,23,0.7666666666666667,1920,1080,30.0,58,1.9333333333333333,46.05920958719136,74.4818853797517,1.2889501350308643
voltear,8voltear.mp4,24,0.8,1920,1080,30.0,58,1.9333333333333333,45.83115933641975,74.28242026108339,1.0016256751543209
voltear,8voltear.mp4,25,0.8333333333333334,1920,1080,30.0,58,1.9333333333333333,45.53467833719136,74.05945877329988,1.0369468557098764
voltear,8voltear.mp4,26,0.8666666666666667,1920,1080,30.0,58,1.9333333333333333,45.193297164351854,73.79620038641865,1.0670167824074075
voltear,8voltear.mp4,27,0.9,1920,1080,30.0,58,1.9333333333333333,44.83988474151234,73.5088907011948,1.1028780864197532
voltear,8voltear.mp4,28,0.9333333333333333,1920,1080,30.0,58,1.9333333333333333,44.487214023919755,73.1623185843059,1.1952314814814815
voltear,8voltear.mp4,29,0.9666666666666667,1920,1080,30.0,58,1.9333333333333333,44.16268132716049,72.8593341063559,1.2475554591049383
voltear,8voltear.mp4,30,1.0,1920,1080,30.0,58,1.9333333333333333,43.88743634259259,72.60195822764969,1.2839081790123457
voltear,8voltear.mp4,31,1.0333333333333334,1920,1080,30.0,58,1.9333333333333333,43.676875,72.41498698103017,1.2073668981481482
voltear,8voltear.mp4,32,1.0666666666666667,1920,1080,30.0,58,1.9333333333333333,43.50696952160494,72.25381831989127,1.083125
voltear,8voltear.mp4,33,1.1,1920,1080,30.0,58,1.9333333333333333,43.358720100308645,72.10469331662605,0.9881163194444444
voltear,8voltear.mp4,34,1.1333333333333333,1920,1080,30.0,58,1.9333333333333333,43.261063850308645,72.01347002172845,1.0037220293209876
voltear,8voltear.mp4,35,1.1666666666666667,1920,1080,30.0,58,1.9333333333333333,43.203722029320986,71.97580726627947,1.0337519290123456
voltear,8voltear.mp4,36,1.2,1920,1080,30.0,58,1.9333333333333333,43.17460358796296,71.96946800906873,0.9977613811728395
voltear,8voltear.mp4,37,1.2333333333333334,1920,1080,30.0,58,1.9333333333333333,43.13437982253087,71.96474083968816,0.9781481481481481
voltear,8voltear.mp4,38,1.2666666666666666,1920,1080,30.0,58,1.9333333333333333,43.097840952932096,71.9580946494396,0.9639916087962963
voltear,8voltear.mp4,39,1.3,1920,1080,30.0,58,1.9333333333333333,43.05905574845679,71.93830727842601,1.0224329668209877
voltear,8voltear.mp4,40,1.3333333333333333,1920,1080,30.0,58,1.9333333333333333,42.99143422067901,71.8897020049925,1.1094801311728395
voltear,8voltear.mp4,41,1.3666666666666667,1920,1080,30.0,58,1.9333333333333333,42.9907634066358,71.889074494529,0.013758198302469136
